,NAME,Proportion_of_married-couple_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_married-couple_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher,Proportion_of_female-householder_families_below_the_poverty_level_where_householder_did_not_graduate_high_school,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_high_school_graduate/equivalent,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_=_some_college_or_associate's_degree,Proportion_of_female-householder_families_below_the_poverty_level_where_householder's_highest_education_level_=_bachelor's_degree_or_higher
32,27332,0.18497109826589594,0.1055956678700361,0.06753042795445623,0.02463768115942029,0.532258064516129,0.4135667396061269,0.08503401360544217,0.05555555555555555
33,27517,0.054878048780487805,0.032,0.0,0.00640495867768595,0.0,0.6363636363636364,0.2542372881355932,0.15485564304461943
34,27518,0.0,0.0,0.03003003003003003,0.014675999096861594,0.0,0.0,0.0,0.18471337579617833
35,27519,0.0,0.01818181818181818,0.02348178137651822,0.018831764019665027,0.0,0.35802469135802467,0.3322784810126582,0.055765595463137994
36,27523,0.0,0.0,0.0,0.005615109749872384,0.0,0.0,0.4424778761061947,0.04824561403508772
37,27527,0.07120743034055728,0.04081632653061224,0.0,0.0,0.7083333333333334,0.0,0.3698630136986301,0.0
38,27537,0.1852589641434263,0.04402054292002935,0.07725587144622992,0.03229665071770335,0.6470588235294118,0.2449725776965265,0.02895752895752896,0.17901234567901234
39,27539,0.2297872340425532,0.03685092127303183,0.011137629276054098,0.017187940264863342,0.36666666666666664,0.15053763440860216,0.08290155440414508,0.0
40,27574,0.12121212121212122,0.0213857998289136,0.018504811250925242,0.014109347442680775,0.24516129032258063,0.20175438596491227,0.44876325088339225,0.0
42,27577,0.2712765957446808,0.08414872798434442,0.0,0.037366548042704624,0.5555555555555556,0.1950207468879668,0.22207267833109018,0.2947019867549669
44,27356,0.0,0.0,0.08357348703170028,0.0,0.21052631578947367,1.0,0.0,0.0
45,27408,0.0,0.08727272727272728,0.045454545454545456,0.013814274750575594,0.7307692307692307,0.4148148148148148,0.11282051282051282,0.3170731707317073
46,27504,0.2539454806312769,0.13815789473684212,0.019635343618513323,0.015533980582524271,1.0,0.358695652173913,0.15263157894736842,0.0
47,27513,0.0,0.05905511811023622,0.011422044545973729,0.025719161384690395,0.2631578947368421,0.08055555555555556,0.02336448598130841,0.07381615598885793
48,27520,0.13258426966292136,0.035783994795055306,0.04614518851997749,0.028350515463917526,0.4188034188034188,0.10863509749303621,0.13701431492842536,0.12213740458015267
49,27525,0.18867924528301888,0.06198347107438017,0.13841113841113842,0.0,0.4025974025974026,0.24390243902439024,0.23636363636363636,0.04225352112676056
50,27530,0.24394184168012925,0.06382978723404255,0.02342274272761617,0.017738359201773836,0.6844547563805105,0.46733668341708545,0.5182481751824818,0.4228723404255319
51,27534,0.3730886850152905,0.018838304552590265,0.037446504992867335,0.004723346828609987,0.20512820512820512,0.2736318407960199,0.20754716981132076,0.1827956989247312
52,27536,0.3387096774193548,0.015180265654648957,0.11407766990291263,0.0,0.6070287539936102,0.23440134907251264,0.34507042253521125,0.11214953271028037
53,27540,0.07589285714285714,0.03221649484536082,0.010507080858839652,0.01301995265471762,0.8181818181818182,0.09174311926605505,0.20335429769392033,0.032327586206896554
54,27560,0.12626262626262627,0.24564796905222436,0.014953271028037384,0.019969793589528443,1.0,0.5925925925925926,0.07903780068728522,0.0890125173852573
55,27587,0.13595166163141995,0.046265697290152015,0.034069097888675626,0.014300518134715026,0.21333333333333335,0.11707317073170732,0.09967141292442497,0.054901960784313725
56,27892,0.11406844106463879,0.06070287539936102,0.0,0.0234009360374415,0.32727272727272727,0.36470588235294116,0.23703703703703705,0.047619047619047616
57,27924,0.0,0.0,0.014925373134328358,0.0,0.11904761904761904,0.25984251968503935,0.0,0.0
58,27937,0.0,0.043478260869565216,0.03740648379052369,0.07303370786516854,1.0,0.6231884057971014,0.2,0.6521739130434783
59,27962,0.0,0.0,0.0,0.0,0.19658119658119658,0.0,0.5632754342431762,0.7142857142857143
60,27850,0.06962025316455696,0.10185185185185185,0.04608294930875576,0.031512605042016806,0.43137254901960786,0.43243243243243246,0.336,0.0
61,27871,0.056910569105691054,0.1487603305785124,0.0,0.0,0.38461538461538464,0.2129032258064516,0.38461538461538464,0.0
62,27874,0.14102564102564102,0.15472779369627507,0.0,0.0,0.1794871794871795,0.12745098039215685,0.44339622641509435,0.0
63,17025,0.0,0.0161892901618929,0.0,0.021796565389696168,0.0,0.24074074074074073,0.10975609756097561,0.34946236559139787
64,28144,0.29080118694362017,0.028021015761821366,0.08980355472404115,0.016717325227963525,0.3119266055045872,0.3907185628742515,0.3471295060080107,0.10434782608695652
